res_id,distr_id,name,city,latitude,longitude,zipcode,address,res_id_1,distr_id_1,name_1,city_1,latitude_1,longitude_1,zipcode_1,address_1
2761,60000246,Balu's Classic,Mumbai,19.01423694,72.84265425,(blank),"Dr. Ambedkar Road, Naigaon, Near Hindamata Cinema, Dadar East, Mumbai",48832,60000246,Balu's Classic,Mumbai,19.01423694,72.84265425,(blank),"Dr. Ambedkar Road, Naigaon, Near Hindamata Cinema, Dadar East, Mumbai"
2762,60000247,Kung Fu Panda,Mumbai,19.10790013,72.88104269649999,(blank),"Ground Floor, Indi Saigon Industrial Estate, Marol, Mumbai",48843,60000247,Kung Fu Panda,Mumbai,19.10790013,72.88104269649999,(blank),"Ground Floor, Indi Saigon Industrial Estate, Marol, Mumbai"
2763,60000247,Rude Lounge,Mumbai,19.11329046,72.90937386,(blank),"8th Floor, B Wing, Supreme Business Park, Hiranandani Gardens, Powai, Mumbai",48851,60000247,Rude Lounge,Mumbai,19.11329046,72.90937386,(blank),"8th Floor, B Wing, Supreme Business Park, Hiranandani Gardens, Powai, Mumbai"
2764,60000247,KFC,Mumbai,19.09975554,72.91715093,(blank),"Food Court, 3rd Floor, R City Mall, LBS Marg, Ghatkopar West, Mumbai",48911,60000247,KFC,Mumbai,19.09975554,72.91715093,(blank),"Food Court, 3rd Floor, R City Mall, LBS Marg, Ghatkopar West, Mumbai"
2765,60000247,TAP,Mumbai,19.13993475,72.83151302489999,400053,"Royal Plaza, New Link Road, Andheri Lokhandwala, Andheri West",48919,60000247,TAP,Mumbai,19.13993475,72.83151302489999,400053,"Royal Plaza, New Link Road, Andheri Lokhandwala, Andheri West"
2766,60000247,The Irish House,Mumbai,19.17296924,72.83559971,(blank),"2nd Floor, Inorbit Mall, Link Road, Malad West, Mumbai",48929,60000247,The Irish House,Mumbai,19.17296924,72.83559971,(blank),"2nd Floor, Inorbit Mall, Link Road, Malad West, Mumbai"
2767,60000247,Sbarro,Mumbai,19.08674389,72.89051995,(blank),"Food Court, Phoenix Market City, LBS Road, Kurla, Mumbai",49016,60000247,Sbarro,Mumbai,19.08674389,72.89051995,(blank),"Food Court, Phoenix Market City, LBS Road, Kurla, Mumbai"
2768,60000247,Peninsula,Mumbai,19.041915151199998,72.86464434,(blank),"117, Peace Heaven, Opposite PVR Sion, Sion Circle, Sion, Mumbai",49057,60000247,Peninsula,Mumbai,19.041915151199998,72.86464434,(blank),"117, Peace Heaven, Opposite PVR Sion, Sion Circle, Sion, Mumbai"
2769,60000247,The Sahib Room & Kipling Bar - The St. Regis Mumbai,Mumbai,18.99461488,72.82371216,(blank),"The St. Regis, Level 9M, 462 Senapati Bapat Marg, Lower Parel, Mumbai",49061,60000247,The Sahib Room & Kipling Bar - The St. Regis Mumbai,Mumbai,18.99461488,72.82371216,(blank),"The St. Regis, Level 9M, 462 Senapati Bapat Marg, Lower Parel, Mumbai"
2770,60000247,Terttulia,Mumbai,19.02559088,72.83528286960001,400028,"Ground Floor, Hotel Parkway, Veer Savarkar Marg, Off Cadell Road, Sea Face Road, Dadar Shivaji Park, Mumbai",49074,60000247,Terttulia,Mumbai,19.02559088,72.83528286960001,400028,"Ground Floor, Hotel Parkway, Veer Savarkar Marg, Off Cadell Road, Sea Face Road, Dadar Shivaji Park, Mumbai"
2771,60000247,PizzaExpress,Mumbai,19.11627114,72.90940739210001,(blank),"G14, A Wing, Ventura Hiranandani Business Park, Powai, Mumbai",49100,60000247,PizzaExpress,Mumbai,19.11627114,72.90940739210001,(blank),"G14, A Wing, Ventura Hiranandani Business Park, Powai, Mumbai"
2772,60000247,Fuel Pump Resto Bar,Mumbai,19.17506881,72.83736963,(blank),"209-210, Opposite Sabkuch Plaza, Next to Cloudnine Hospital, Near Inorbit Junction, Link Road, Malad West, Mumbai",49114,60000247,Fuel Pump Resto Bar,Mumbai,19.17506881,72.83736963,(blank),"209-210, Opposite Sabkuch Plaza, Next to Cloudnine Hospital, Near Inorbit Junction, Link Road, Malad West, Mumbai"
2773,60000247,Suleman Usman Mithaiwala,Mumbai,18.95474832,72.83315353100001,(blank),"167-171, Ebrahim Mohd Merchant Road, Below Minara Masjid, Mohammed Ali Road, Mumbai",49124,60000247,Suleman Usman Mithaiwala,Mumbai,18.95474832,72.83315353100001,(blank),"167-171, Ebrahim Mohd Merchant Road, Below Minara Masjid, Mohammed Ali Road, Mumbai"
2774,60000247,Happy Birthday Cakes & Coffee,Mumbai,19.128210748900003,72.83769283,(blank),"Shop 2, Bhavesha Veera Desai Road, Opposite Andheri Sports Complex Gate, Veera Desai Area, Mumbai",49128,60000247,Happy Birthday Cakes & Coffee,Mumbai,19.128210748900003,72.83769283,(blank),"Shop 2, Bhavesha Veera Desai Road, Opposite Andheri Sports Complex Gate, Veera Desai Area, Mumbai"
2775,60000247,Suleman Mithaiwala,Mumbai,18.9615816,72.83715539,(blank),"41F/G, Mohammad Ali Road, Byculla, Mumbai",49132,60000247,Suleman Mithaiwala,Mumbai,18.9615816,72.83715539,(blank),"41F/G, Mohammad Ali Road, Byculla, Mumbai"
2776,60000247,Cafe Coffee Day,Mumbai,19.100194,72.839675,(blank),"S V Road, Opposite Pawan Hans, Bajaj Road, Vile Parle West, Mumbai",49136,60000247,Cafe Coffee Day,Mumbai,19.100194,72.839675,(blank),"S V Road, Opposite Pawan Hans, Bajaj Road, Vile Parle West, Mumbai"
2777,60000247,Cafe Coffee Day,Mumbai,18.932238,72.827672,(blank),"Cambata Building, Jamshedji Tata Road, Churchgate, Mumbai",49137,60000247,Cafe Coffee Day,Mumbai,18.932238,72.827672,(blank),"Cambata Building, Jamshedji Tata Road, Churchgate, Mumbai"
2778,60000247,Mahesh Lunch Home,Navi Mumbai,19.06523987,72.99543187020001,(blank),"Platinum Techno Park, Sector 30A, Vashi, Navi Mumbai",49162,60000247,Mahesh Lunch Home,Navi Mumbai,19.06523987,72.99543187020001,(blank),"Platinum Techno Park, Sector 30A, Vashi, Navi Mumbai"
